Solver,BenchmarkChoice,OptionWordpressRequire,OptionMysqlRequire,OptionMysqlProvide,OptionWebservers,min(FinalConfigurationComponents),max(FinalConfigurationComponents),mean(FinalConfigurationComponents),stddev(FinalConfigurationComponents),min(FinalConfigurationBindings),max(FinalConfigurationBindings),mean(FinalConfigurationBindings),stddev(FinalConfigurationBindings),min(SolvingSystemTime),max(SolvingSystemTime),mean(SolvingSystemTime),stddev(SolvingSystemTime),min(SolvingUserTime),max(SolvingUserTime),mean(SolvingUserTime),stddev(SolvingUserTime),min(SolvingWallClockTime),max(SolvingWallClockTime),mean(SolvingWallClockTime),stddev(SolvingWallClockTime),min(SystemTime),max(SystemTime),mean(SystemTime),stddev(SystemTime),min(UserTime),max(UserTime),mean(UserTime),stddev(UserTime),min(WallClockTime),max(WallClockTime),mean(WallClockTime),stddev(WallClockTime),min(AverageTotalMemoryUse),max(AverageTotalMemoryUse),mean(AverageTotalMemoryUse),stddev(AverageTotalMemoryUse),min(MaximumResidentSetSize),max(MaximumResidentSetSize),mean(MaximumResidentSetSize),stddev(MaximumResidentSetSize),min(AverageResidentSetSize),max(AverageResidentSetSize),mean(AverageResidentSetSize),stddev(AverageResidentSetSize),min(AverageUnsharedStackSize),max(AverageUnsharedStackSize),mean(AverageUnsharedStackSize),stddev(AverageUnsharedStackSize)
g12,wordpress,0,0,3,0,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.003333,0.004714,0.000000,0.020000,0.009167,0.005713,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.004167,0.004930,0.000000,0.020000,0.009583,0.006110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4236.000000,4244.000000,4239.000000,3.109126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
g12,wordpress,0,0,3,1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.004583,0.004983,0.000000,0.020000,0.012083,0.007059,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.007917,0.007626,0.000000,0.020000,0.007917,0.007626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5076.000000,5092.000000,5081.166667,4.543004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
g12,wordpress,0,0,3,2,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.006250,0.006333,0.000000,0.020000,0.009583,0.006110,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.005833,0.007022,0.000000,0.020000,0.009167,0.007592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5180.000000,5196.000000,5190.833333,4.543004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
g12,wordpress,0,0,3,3,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.007083,0.005385,0.000000,0.020000,0.010417,0.006757,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.005417,0.005758,0.000000,0.020000,0.012083,0.007059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5256.000000,5272.000000,5264.166667,4.827583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
g12,wordpress,0,0,3,4,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.007500,0.004330,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.005000,0.005000,0.000000,0.010000,0.007500,0.004330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5360.000000,5360.000000,5360.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
g12,wordpress,0,0,3,5,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.002500,0.004330,0.000000,0.010000,0.007500,0.004330,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.005000,0.005000,0.000000,0.010000,0.007500,0.004330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5492.000000,5504.000000,5498.000000,4.472136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
g12,wordpress,0,0,4,0,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.003333,0.005528,0.000000,0.020000,0.010417,0.007348,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.004167,0.005713,0.000000,0.020000,0.009583,0.007348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4236.000000,4264.000000,4238.000000,5.656854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
g12,wordpress,0,0,4,1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.005417,0.005758,0.000000,0.020000,0.008750,0.005995,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.006250,0.005637,0.000000,0.020000,0.008333,0.006872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5072.000000,5092.000000,5082.666667,4.422166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
g12,wordpress,0,0,4,2,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.006250,0.005637,0.000000,0.020000,0.008333,0.007993,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.003333,0.004714,0.000000,0.020000,0.012083,0.006442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5184.000000,5196.000000,5190.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
g12,wordpress,0,0,4,3,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.005000,0.006455,0.000000,0.020000,0.010833,0.006401,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.005417,0.007059,0.000000,0.020000,0.010833,0.007022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5256.000000,5276.000000,5267.166667,4.896144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
g12,wordpress,0,0,4,4,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.002500,0.004330,0.000000,0.020000,0.012500,0.008292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.005000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5352.000000,5364.000000,5359.000000,4.358899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
g12,wordpress,0,0,4,5,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.007500,0.004330,0.000000,0.010000,0.002500,0.004330,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.002500,0.004330,0.010000,0.010000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5492.000000,5508.000000,5500.000000,5.656854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
g12,wordpress,0,100,3,0,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.006250,0.006333,0.000000,0.020000,0.009167,0.007592,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.006250,0.006960,0.000000,0.020000,0.009583,0.006757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4264.000000,4280.000000,4270.166667,4.469029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
